# Distance/nm	$\rho$	$I_{\text{CTF}}$	$I_{\text{CTF}} \otimes \sigma_{\text{detector}}$
-86.99675	1	0.99909	0.99997
-86.94674	1	0.99914	0.99997
-86.89672	1	0.99919	0.99997
-86.84671	1	0.99924	0.99997
-86.7967	1	0.9993	0.99997
-86.74669	1	0.99936	0.99997
-86.69667	1	0.99941	0.99997
-86.64666	1	0.99947	0.99997
-86.59665	1	0.99953	0.99997
-86.54664	1	0.99958	0.99997
-86.49662	1	0.99963	0.99997
-86.44661	1	0.99968	0.99997
-86.3966	1	0.99972	0.99997
-86.34659	1	0.99975	0.99997
-86.29657	1	0.99978	0.99997
-86.24656	1	0.9998	0.99997
-86.19655	1	0.99982	0.99997
-86.14654	1	0.99983	0.99997
-86.09652	1	0.99983	0.99997
-86.04651	1	0.99983	0.99997
-85.9965	1	0.99982	0.99997
-85.94649	1	0.9998	0.99997
-85.89647	1	0.99977	0.99997
-85.84646	1	0.99974	0.99996
-85.79645	1	0.9997	0.99996
-85.74644	1	0.99966	0.99996
-85.69642	1	0.99961	0.99996
-85.64641	1	0.99956	0.99996
-85.5964	1	0.9995	0.99996
-85.54639	1	0.99945	0.99996
-85.49637	1	0.99939	0.99996
-85.44636	1	0.99933	0.99996
-85.39635	1	0.99927	0.99996
-85.34634	1	0.99921	0.99996
-85.29632	1	0.99916	0.99996
-85.24631	1	0.99911	0.99996
-85.1963	1	0.99906	0.99996
-85.14629	1	0.99902	0.99996
-85.09627	1	0.99898	0.99996
-85.04626	1	0.99895	0.99996
-84.99625	1	0.99892	0.99996
-84.94624	1	0.9989	0.99996
-84.89622	1	0.99889	0.99996
-84.84621	1	0.99889	0.99996
-84.7962	1	0.99889	0.99996
-84.74619	1	0.9989	0.99996
-84.69617	1	0.99891	0.99996
-84.64616	1	0.99894	0.99996
-84.59615	1	0.99897	0.99996
-84.54614	1	0.99901	0.99996
-84.49612	1	0.99905	0.99996
-84.44611	1	0.99909	0.99996
-84.3961	1	0.99914	0.99996
-84.34609	1	0.9992	0.99996
-84.29607	1	0.99926	0.99996
-84.24606	1	0.99931	0.99996
-84.19605	1	0.99937	0.99996
-84.14604	1	0.99943	0.99996
-84.09602	1	0.99949	0.99996
-84.04601	1	0.99954	0.99996
-83.996	1	0.9996	0.99995
-83.94599	1	0.99965	0.99995
-83.89597	1	0.99969	0.99995
-83.84596	1	0.99973	0.99995
-83.79595	1	0.99976	0.99995
-83.74594	1	0.99979	0.99995
-83.69592	1	0.99981	0.99995
-83.64591	1	0.99983	0.99995
-83.5959	1	0.99983	0.99995
-83.54589	1	0.99983	0.99995
-83.49587	1	0.99982	0.99995
-83.44586	1	0.99981	0.99995
-83.39585	1	0.99979	0.99995
-83.34584	1	0.99976	0.99995
-83.29582	1	0.99972	0.99995
-83.24581	1	0.99968	0.99995
-83.1958	1	0.99964	0.99995
-83.14579	1	0.99958	0.99995
-83.09577	1	0.99953	0.99995
-83.04576	1	0.99947	0.99995
-82.99575	1	0.99942	0.99995
-82.94574	1	0.99936	0.99995
-82.89572	1	0.9993	0.99995
-82.84571	1	0.99924	0.99995
-82.7957	1	0.99918	0.99995
-82.74569	1	0.99912	0.99995
